Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,34.2%,2,1,29.7%,1,59.6%,5,6.4%,1,37.6%,1,64.8%,3,7.5%,10,5.9%,31,4.9%
SD,2,23.6%,24,4,24.2%,2,51.5%,7,3.6%,2,22.9%,2,51.9%,8,1.5%,6,4.2%,22,2.1%
PHI,3,22.6%,26,3,24.8%,5,33.5%,1,18.3%,3,22.3%,3,34.3%,1,16.6%,31,14.9%,24,2.5%
NE,4,16.5%,1,2,24.8%,8,28.6%,3,6.6%,4,14.6%,8,26.5%,6,4.7%,24,8.8%,9,-3.3%
NO,5,16.3%,9,5,17.4%,3,37.3%,20,-8.4%,6,13.9%,4,33.8%,20,-8.9%,17,7.1%,7,-4.4%
CHI,6,13.4%,25,6,13.0%,7,31.4%,13,-4.4%,5,14.0%,5,32.9%,15,-5.0%,26,9.7%,20,1.9%
SEA,7,10.1%,4,9,8.9%,6,33.1%,11,-0.3%,9,8.7%,6,32.2%,12,-2.2%,19,7.6%,8,-4.2%
SF,8,9.1%,5,7,10.7%,4,36.5%,14,-4.7%,14,3.4%,7,29.2%,21,-9.1%,25,8.9%,3,-5.4%
CAR,9,8.7%,10,11,5.5%,10,19.0%,9,2.4%,12,6.0%,16,15.5%,10,0.5%,14,6.6%,4,-5.1%
GB,10,8.5%,3,16,-0.3%,13,14.5%,2,7.5%,7,11.9%,10,18.9%,2,9.3%,32,15.1%,25,2.5%
DAL,11,7.2%,12,13,4.8%,11,16.0%,4,6.5%,8,8.9%,11,18.9%,5,5.9%,7,4.5%,23,2.4%
IND,12,4.4%,18,18,-0.7%,15,13.7%,18,-6.9%,11,6.1%,14,15.8%,17,-5.7%,29,11.6%,14,-0.3%
PIT,13,4.4%,20,8,9.4%,9,23.5%,29,-16.0%,13,4.5%,9,23.4%,28,-15.7%,4,3.9%,19,1.0%
ATL,14,3.2%,11,17,-0.6%,12,15.9%,22,-9.9%,19,-2.9%,18,7.1%,23,-10.7%,5,4.1%,1,-6.6%
KC,15,3.1%,31,10,6.8%,17,11.3%,6,5.5%,10,7.1%,12,16.8%,4,7.4%,18,7.5%,32,5.5%
TEN,16,1.6%,30,12,4.9%,16,12.6%,16,-5.8%,15,3.4%,13,16.7%,19,-6.7%,9,5.8%,15,0.0%
CIN,17,0.9%,17,14,3.5%,14,14.3%,17,-6.6%,16,3.3%,15,15.8%,13,-2.7%,27,9.7%,28,3.6%
DET,18,-2.1%,8,21,-6.9%,19,10.3%,26,-13.6%,17,-1.1%,17,12.4%,26,-14.0%,8,4.6%,26,3.1%
MIA,19,-2.3%,22,20,-2.0%,20,4.7%,19,-7.2%,18,-2.8%,20,3.5%,18,-6.7%,11,6.0%,10,-1.7%
ARI,20,-2.5%,32,15,0.9%,18,10.6%,21,-9.1%,21,-7.3%,19,4.3%,24,-12.2%,2,3.7%,6,-4.7%
MIN,21,-4.4%,14,19,-1.5%,23,-5.4%,8,3.1%,20,-5.0%,24,-6.6%,7,3.4%,12,6.1%,18,0.7%
STL,22,-9.7%,19,22,-8.6%,21,-0.2%,28,-15.5%,24,-13.5%,22,-3.7%,29,-19.5%,21,8.0%,5,-4.8%
TB,23,-10.0%,15,23,-8.8%,22,-0.3%,24,-12.4%,28,-15.3%,26,-7.5%,27,-15.4%,23,8.3%,2,-5.9%
WAS,24,-10.1%,6,27,-14.8%,27,-11.0%,10,1.4%,22,-7.9%,25,-7.2%,9,1.4%,16,6.8%,30,4.5%
BUF,25,-11.8%,21,26,-14.7%,28,-12.3%,15,-5.8%,23,-9.2%,28,-12.1%,11,-0.4%,15,6.7%,13,-0.5%
CLE,26,-14.6%,27,25,-13.5%,25,-6.2%,25,-12.8%,26,-14.2%,23,-5.9%,25,-12.3%,20,7.8%,16,0.1%
NYJ,27,-15.5%,29,24,-10.2%,26,-9.8%,27,-13.8%,25,-13.7%,30,-14.9%,16,-5.2%,30,12.2%,12,-1.2%
OAK,28,-17.1%,23,28,-17.9%,29,-15.8%,12,-4.2%,27,-15.0%,27,-12.0%,14,-4.1%,3,3.8%,29,3.9%
HOU,29,-19.3%,16,32,-24.2%,31,-18.4%,23,-11.7%,29,-18.8%,31,-18.4%,22,-10.5%,28,11.1%,17,0.2%
NYG,30,-22.0%,7,31,-23.9%,30,-17.4%,30,-21.8%,31,-20.8%,29,-12.6%,30,-25.7%,13,6.4%,27,3.6%
BAL,31,-22.0%,13,30,-23.8%,24,-6.0%,32,-32.8%,30,-19.2%,21,-1.7%,32,-32.1%,1,2.4%,21,1.9%
JAX,32,-30.3%,28,29,-21.2%,32,-23.9%,31,-28.9%,32,-30.1%,32,-22.1%,31,-31.3%,22,8.3%,11,-1.3%
