Team,Special Teams DVOA Rank,Special Teams DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,FG/XP,Kickoff,Kickoff Return,Punt,PuntReturn,Hidden Points Rank,Hidden Points,Weather Points Rank,Weather Points,Unadj. VOA Rank,Unadj. VOA
BAL,1,9.2%,4,1,11.5%,19.0,6.6,12.3,4.1,3.9,25,-7.0,32,-7.6,1,7.7%
LAR,2,6.8%,3,3,7.6%,11.3,-0.3,9.2,10.3,3.7,1,40.6,10,2.9,2,7.4%
NE,3,6.3%,8,2,8.2%,8.9,8.4,6.4,8.2,-0.6,3,13.1,19,-1.2,3,6.0%
KC,4,5.3%,1,5,5.7%,11.8,7.1,0.0,6.2,1.7,8,5.0,28,-4.5,7,4.5%
DET,5,4.9%,6,10,3.7%,6.4,5.8,-4.0,-1.5,17.9,6,6.4,4,4.3,4,5.8%
CAR,6,4.7%,25,6,5.7%,6.3,2.2,5.3,7.8,1.9,13,-0.2,12,2.9,6,5.3%
DAL,7,4.6%,9,8,4.4%,-7.0,4.5,2.3,16.9,6.2,2,14.8,7,3.5,5,5.3%
IND,8,3.7%,5,7,4.8%,0.4,1.6,-1.2,20.2,-2.6,9,5.0,15,2.1,8,4.1%
PIT,9,3.1%,16,4,5.9%,8.4,5.2,1.3,3.3,-2.9,28,-8.0,30,-5.2,12,2.0%
BUF,10,2.9%,22,12,3.1%,11.5,2.0,-4.9,4.3,1.8,29,-9.0,31,-5.6,14,1.8%
SF,11,2.7%,17,14,2.0%,13.3,3.0,-6.4,3.6,0.0,11,4.0,16,2.1,9,3.1%
MIA,12,2.6%,12,9,4.1%,3.4,5.3,-1.5,6.6,-0.6,5,6.4,18,-0.8,11,2.5%
TEN,13,1.6%,19,15,1.3%,0.6,2.9,0.8,3.0,0.7,22,-5.8,17,1.7,13,2.0%
GB,14,1.3%,21,13,2.2%,-2.8,0.1,0.2,5.1,4.0,30,-12.0,21,-2.1,15,0.9%
NO,15,1.2%,27,11,3.3%,-0.9,-0.3,5.6,6.5,-5.0,4,10.3,2,6.8,10,2.5%
PHI,16,0.9%,2,18,-0.7%,3.9,-0.8,0.6,3.4,-2.5,12,0.8,24,-3.5,17,0.2%
OAK,17,-0.2%,14,21,-1.9%,-4.3,2.2,4.7,4.8,-8.6,18,-3.8,14,2.4,16,0.2%
MIN,18,-0.9%,10,19,-1.4%,-3.1,-5.0,-2.6,2.9,3.1,19,-4.2,6,3.5,19,-0.2%
ATL,19,-1.2%,7,22,-2.4%,6.4,-4.5,-3.6,-1.0,-3.1,16,-3.0,3,6.4,18,0.1%
SEA,20,-2.0%,15,23,-2.6%,-7.6,3.0,8.1,-13.4,0.1,27,-7.5,25,-3.5,21,-2.7%
CIN,21,-2.4%,28,25,-3.8%,2.7,-2.9,-5.3,-6.0,-0.2,10,4.8,27,-3.9,23,-3.1%
WAS,22,-2.4%,13,20,-1.7%,-1.6,6.9,-4.1,-7.8,-5.5,26,-7.3,29,-4.6,24,-3.3%
CHI,23,-2.4%,18,16,-0.3%,-6.0,-2.2,-1.2,-12.3,9.7,31,-12.3,23,-2.7,22,-3.0%
JAX,24,-2.5%,23,17,-0.6%,-2.7,-8.8,-0.5,-4.4,3.8,23,-6.0,11,2.9,20,-1.9%
NYJ,25,-3.0%,32,27,-4.5%,2.8,3.9,-3.4,-6.0,-12.2,7,5.8,22,-2.4,25,-3.5%
HOU,26,-4.5%,31,29,-5.6%,-5.8,0.1,-5.3,-10.7,-1.1,32,-16.9,5,4.1,26,-3.7%
CLE,27,-5.1%,26,26,-3.9%,-3.5,-6.0,2.1,-11.5,-6.8,21,-4.8,26,-3.9,30,-5.9%
ARI,28,-5.5%,30,24,-3.3%,-8.9,-5.5,-2.1,-10.0,-0.9,24,-6.6,8,3.4,27,-4.8%
TB,29,-5.5%,20,32,-6.9%,-13.2,-14.4,-0.6,0.2,0.3,14,-1.2,9,3.2,28,-4.9%
DEN,30,-7.4%,24,31,-6.3%,-10.3,-9.8,-3.6,-8.8,-4.5,15,-2.6,1,10.2,29,-5.4%
LAC,31,-7.5%,29,28,-4.7%,-22.2,-7.4,-3.9,-6.1,2.3,20,-4.7,13,2.7,31,-6.9%
NYG,32,-7.5%,11,30,-6.3%,-12.2,-0.8,-3.5,-16.5,-4.5,17,-3.5,20,-1.8,32,-7.8%
