Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,-25.2%,19,3,-17.2%,1,-31.5%,8,-15.7%,1,-28.1%,1,-32.9%,5,-20.8%,31,11.8%,32,-5.6%
SF,2,-20.3%,24,4,-15.7%,2,-24.0%,9,-15.4%,2,-17.9%,2,-20.5%,14,-14.4%,28,8.9%,13,0.8%
PIT,3,-17.8%,14,1,-24.0%,3,-15.0%,4,-21.0%,3,-16.4%,4,-14.8%,7,-18.3%,24,7.7%,16,0.0%
MIN,4,-12.3%,3,6,-14.3%,5,-10.9%,12,-14.4%,5,-12.4%,6,-9.5%,9,-16.7%,3,2.9%,8,1.7%
BAL,5,-11.5%,4,2,-17.8%,4,-12.9%,21,-9.4%,4,-15.6%,3,-18.6%,17,-11.0%,23,7.6%,30,-5.1%
TB,6,-10.5%,32,5,-15.5%,13,2.2%,1,-34.7%,7,-11.2%,11,1.2%,1,-34.8%,20,6.6%,6,2.4%
BUF,7,-9.9%,2,7,-12.7%,6,-10.5%,22,-9.0%,6,-12.0%,5,-13.9%,19,-9.4%,14,5.6%,31,-5.6%
NO,8,-7.1%,8,8,-9.3%,10,-0.6%,5,-19.6%,8,-8.3%,8,-0.7%,4,-22.7%,6,4.6%,14,0.3%
LAR,9,-6.1%,16,9,-5.7%,8,-1.7%,17,-11.8%,13,-2.7%,10,0.7%,22,-6.9%,29,9.6%,2,3.5%
CHI,10,-5.8%,1,10,-5.7%,11,0.6%,10,-14.7%,12,-3.0%,14,4.6%,15,-13.5%,4,3.7%,1,3.7%
NYJ,11,-4.2%,22,11,-5.2%,20,12.3%,2,-29.4%,9,-6.1%,17,9.9%,2,-30.6%,18,6.1%,27,-3.7%
PHI,12,-3.1%,15,12,-4.8%,15,8.1%,3,-21.7%,11,-3.3%,16,9.7%,3,-24.8%,30,11.0%,24,-2.0%
DEN,13,-2.8%,6,13,-4.3%,14,6.0%,15,-13.7%,14,-1.4%,18,10.0%,11,-15.5%,25,7.8%,4,3.2%
KC,14,-2.6%,27,14,-4.2%,7,-3.9%,26,-0.7%,16,-0.2%,9,0.0%,26,-0.5%,17,6.1%,9,1.6%
GB,15,-0.9%,29,16,-0.8%,9,-1.4%,27,-0.4%,15,-1.2%,7,-2.8%,28,1.0%,26,8.1%,17,-0.2%
DAL,16,0.7%,9,17,1.5%,17,10.3%,14,-13.8%,10,-3.9%,13,4.3%,10,-16.2%,21,7.1%,28,-4.6%
ATL,17,1.4%,30,15,-2.2%,21,12.4%,13,-14.0%,20,5.3%,22,15.5%,20,-8.8%,19,6.2%,7,2.3%
TEN,18,1.9%,18,20,2.8%,22,12.5%,11,-14.5%,17,0.6%,19,10.9%,12,-15.4%,1,1.9%,22,-0.9%
IND,19,3.0%,11,19,2.8%,19,11.5%,18,-11.0%,18,2.6%,21,12.1%,16,-12.9%,16,5.9%,19,-0.6%
ARI,20,4.0%,12,18,1.9%,26,17.7%,6,-17.5%,24,7.8%,28,25.1%,6,-19.3%,13,5.6%,10,1.6%
SEA,21,4.1%,17,22,3.8%,16,9.4%,23,-4.3%,19,3.9%,15,7.7%,25,-2.0%,11,5.3%,12,0.9%
HOU,22,5.6%,5,24,9.5%,25,15.9%,19,-10.1%,23,7.5%,25,17.1%,21,-7.1%,8,5.1%,3,3.5%
DET,23,6.5%,21,26,11.0%,28,20.5%,16,-13.6%,21,7.2%,27,22.3%,13,-14.6%,5,4.1%,11,1.2%
CLE,24,6.6%,13,27,11.6%,18,10.5%,30,1.9%,25,8.0%,20,12.1%,30,3.2%,7,5.0%,26,-2.4%
LAC,25,7.2%,10,21,3.6%,23,14.1%,25,-1.2%,22,7.5%,24,15.7%,23,-2.7%,2,2.5%,18,-0.4%
CAR,26,8.0%,23,29,13.6%,12,1.9%,32,15.9%,28,9.5%,12,4.2%,32,16.3%,10,5.2%,5,3.1%
WAS,27,8.9%,20,23,8.6%,27,18.9%,24,-2.5%,26,8.5%,26,17.7%,24,-2.1%,9,5.1%,20,-0.7%
NYG,28,11.5%,25,25,9.9%,30,33.1%,7,-16.5%,27,9.3%,29,29.5%,8,-16.9%,22,7.3%,25,-2.2%
JAX,29,12.3%,7,31,18.4%,24,14.6%,31,9.3%,29,12.5%,23,15.5%,31,8.7%,32,14.7%,15,0.1%
CIN,30,15.6%,28,28,12.2%,29,30.5%,28,-0.3%,30,15.5%,30,30.0%,27,0.0%,15,5.8%,23,-1.3%
OAK,31,15.8%,31,30,16.1%,31,33.2%,20,-9.8%,31,15.6%,31,33.3%,18,-10.5%,27,8.5%,21,-0.8%
MIA,32,23.0%,26,32,20.9%,32,43.4%,29,0.9%,32,21.4%,32,39.7%,29,1.6%,12,5.4%,29,-4.7%
